schema_version	run_id	as_of_date	scope_mode	record_type	source_system	advisor_recommendation_id	recommendation_type_id	recommendation_status	subscription_id	subscription_name	resource_linkage_source	published_resource_id	normalized_resource_id	resource_name	resource_group	resource_type	location	tags_json	advisor_metadata_id	service_name	retiring_feature	retirement_date_raw	retirement_date	retirement_date_source	retirement_date_quality	impact	risk	category	sub_category	last_updated	label	short_description_problem	short_description_solution	description	potential_benefits	learn_more_link	actions_json	metadata_match_status	resource_inventory_match_status	subscription_inventory_match_status	diagnostic_flags	provenance_json	raw_record_ref
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/0e2dbd88a6b2c069535a0853466bad2cc7eb26b1e62cc4d648d8588d4408141b	b005ecf0-23e2-4279-9ca2-718d1518c9fb	New	00288c16-f581-4bb4-9c52-6954dce102f4		resource_id	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks-rg	microsoft.containerservice/managedclusters		{}			Legacy authentication for Container Insights - Azure Monitor	2026-09-30	2026-09-30	properties.extendedProperties.retirementDate	exact	Medium		HighAvailability		2026-04-16T16:00:26.644090Z		Migrate to Container insights managed identity authentication	Migrate to Container insights managed identity authentication				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""b005ecf0-23e2-4279-9ca2-718d1518c9fb\u0000/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks"",""resource"":""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks"",""subscription"":""00288c16-f581-4bb4-9c52-6954dce102f4""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/0e2dbd88a6b2c069535a0853466bad2cc7eb26b1e62cc4d648d8588d4408141b"",""resource_linkage"":""resource_id""}"	ed97cf60c1e5bb359422629ff918ecf875c2aec3a84803204b981fdee809361b
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/c3f064b831ccf765b28c1361192ae556a0684be0e24812dd5cb936f90d175b2d	00dbcc9d-50d4-44ef-bc21-c15785cddf42	New	00288c16-f581-4bb4-9c52-6954dce102f4		resource_id	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks-rg	microsoft.containerservice/managedclusters		{}			Azure Kubernetes Service support for Ubuntu 22.04	2027-06-30	2027-06-30	properties.extendedProperties.retirementDate	exact	Medium		HighAvailability		2026-05-07T15:05:08.507238Z		Migrate to Ubuntu 24.04 or later versions	Migrate to Ubuntu 24.04 or later versions				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""00dbcc9d-50d4-44ef-bc21-c15785cddf42\u0000/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks"",""resource"":""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks"",""subscription"":""00288c16-f581-4bb4-9c52-6954dce102f4""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/c3f064b831ccf765b28c1361192ae556a0684be0e24812dd5cb936f90d175b2d"",""resource_linkage"":""resource_id""}"	f0c584480dcf67ce9675fbc2b04d0485116d0515ed6f1c7b2f781b994b3a7460
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv/providers/Microsoft.Advisor/recommendations/76c903f8c1d9f6e1b5457ddadc46a095e783da86424b46c0a45504cea0b6f8f5	7ff06874-39e9-41be-9552-fa1ae2a83c88	New	00288c16-f581-4bb4-9c52-6954dce102f4		resource_id	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv	p4pa-d-payhub-kv	p4pa-d-itn-payhub-sec-rg	microsoft.keyvault/vaults		{}			API versions prior to 2026-02-01	2027-02-27	2027-02-27	properties.extendedProperties.retirementDate	exact	High		HighAvailability		2026-07-30T20:09:05.148973Z		Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""7ff06874-39e9-41be-9552-fa1ae2a83c88\u0000/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv"",""resource"":""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv"",""subscription"":""00288c16-f581-4bb4-9c52-6954dce102f4""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv/providers/Microsoft.Advisor/recommendations/76c903f8c1d9f6e1b5457ddadc46a095e783da86424b46c0a45504cea0b6f8f5"",""resource_linkage"":""resource_id""}"	e11ba0b9cf612a9671fa2c2a70da99633cb00df64e3468c60c9fdc1e85055f7d
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/af6035ddf1af5c59fff9a768c7690564ab9afe2eb85ecb297173dd173b35300e	7ff06874-39e9-41be-9552-fa1ae2a83c88	New	02a23258-2e41-433c-8e9a-465b99e77bca		resource_id	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01	dx-p-itn-common-kv-01	dx-p-itn-common-rg-01	microsoft.keyvault/vaults		{}			API versions prior to 2026-02-01	2027-02-27	2027-02-27	properties.extendedProperties.retirementDate	exact	High		HighAvailability		2026-07-24T18:35:54.655514Z		Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""7ff06874-39e9-41be-9552-fa1ae2a83c88\u0000/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01"",""resource"":""/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01"",""subscription"":""02a23258-2e41-433c-8e9a-465b99e77bca""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/af6035ddf1af5c59fff9a768c7690564ab9afe2eb85ecb297173dd173b35300e"",""resource_linkage"":""resource_id""}"	acbb6842f0bb1ff90f8cd31a8e73c506864272fd281a3144d501fd587adf4059
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01/providers/Microsoft.Advisor/recommendations/d1d7ce4e075e93668f1faa1c20a36b1aea0deea872b432e59a0c0310cd36c596	ced5fa9f-b5bf-4982-9f25-8190fb36dfca	New	02a23258-2e41-433c-8e9a-465b99e77bca		resource_id	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01	dxpitntfstatest01	dx-p-itn-tfstate-rg-01	microsoft.storage/storageaccounts		{}			Support for TLS 1.0 and 1.1	2026-02-03	2026-02-03	properties.extendedProperties.retirementDate	exact	High		HighAvailability		2026-04-18T13:10:05.294451Z		Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""ced5fa9f-b5bf-4982-9f25-8190fb36dfca\u0000/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01"",""resource"":""/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01"",""subscription"":""02a23258-2e41-433c-8e9a-465b99e77bca""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01/providers/Microsoft.Advisor/recommendations/d1d7ce4e075e93668f1faa1c20a36b1aea0deea872b432e59a0c0310cd36c596"",""resource_linkage"":""resource_id""}"	001b60f3e1bae182b6958333ce42a8c0e11237065fc3dd80bd99b50e4c311d13
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/41bc19500caeae3d79483df1f79772c7f4d53bdea7ce48c738fb2ce147d782fe	7ff06874-39e9-41be-9552-fa1ae2a83c88	New	0f1c9857-d58b-47d2-874e-c905c5276dda		resource_id	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01	ced-p-itn-common-kv-01	ced-p-itn-common-rg-01	microsoft.keyvault/vaults		{}			API versions prior to 2026-02-01	2027-02-27	2027-02-27	properties.extendedProperties.retirementDate	exact	High		HighAvailability		2026-07-30T20:09:28.283634Z		Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""7ff06874-39e9-41be-9552-fa1ae2a83c88\u0000/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01"",""resource"":""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01"",""subscription"":""0f1c9857-d58b-47d2-874e-c905c5276dda""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/41bc19500caeae3d79483df1f79772c7f4d53bdea7ce48c738fb2ce147d782fe"",""resource_linkage"":""resource_id""}"	51bcfdc9ccd35bf84e997fab55dcc43efbc849b408b9cf6b7b3da31b4e4fa5e8
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01/providers/Microsoft.Advisor/recommendations/9cf1214a51f677f6f837c2a5270838e420a909e5dc6708fface4b08d7937b543	ced5fa9f-b5bf-4982-9f25-8190fb36dfca	New	0f1c9857-d58b-47d2-874e-c905c5276dda		resource_id	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01	cedpitntfstatest01	ced-p-itn-tfstate-rg-01	microsoft.storage/storageaccounts		{}			Support for TLS 1.0 and 1.1	2026-02-03	2026-02-03	properties.extendedProperties.retirementDate	exact	High		HighAvailability		2026-04-20T12:04:35.595254Z		Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""ced5fa9f-b5bf-4982-9f25-8190fb36dfca\u0000/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01"",""resource"":""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01"",""subscription"":""0f1c9857-d58b-47d2-874e-c905c5276dda""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01/providers/Microsoft.Advisor/recommendations/9cf1214a51f677f6f837c2a5270838e420a909e5dc6708fface4b08d7937b543"",""resource_linkage"":""resource_id""}"	ad04a6add2d4b23a0eea911bca3f8909101c38a5c6d273b11be439c1398fbc51
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp/providers/Microsoft.Advisor/recommendations/109249e0bde0538540e2d45671e8722b9a3b1a162271974f18a93d35765670d9	1d70919c-1a4a-4f79-8300-bb576c291e9d	New	1ab5e788-3b98-4c63-bd05-de0c7388c853		resource_id	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp	azuredurablefunctionstyp	azuredurablefunctionstyp	microsoft.storage/storageaccounts		{}			Legacy Blob and General-Purpose v1 storage accounts	2026-10-13	2026-10-13	properties.extendedProperties.retirementDate	exact	Medium		HighAvailability		2026-05-13T05:34:57.381190Z		Upgrade general-purpose v1 storage accounts	Upgrade general-purpose v1 storage accounts				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""1d70919c-1a4a-4f79-8300-bb576c291e9d\u0000/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp"",""resource"":""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp"",""subscription"":""1ab5e788-3b98-4c63-bd05-de0c7388c853""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp/providers/Microsoft.Advisor/recommendations/109249e0bde0538540e2d45671e8722b9a3b1a162271974f18a93d35765670d9"",""resource_linkage"":""resource_id""}"	c53ce50de7002b3395c0beea3600f662ac7eee9bf8093b91b432edf297badd3f
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp/providers/Microsoft.Advisor/recommendations/ccd28e1c50460cab8ce3769433782c04a86b47dabf4764726f889ad5bea34a68	ced5fa9f-b5bf-4982-9f25-8190fb36dfca	New	1ab5e788-3b98-4c63-bd05-de0c7388c853		resource_id	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp	azuredurablefunctionstyp	azuredurablefunctionstyp	microsoft.storage/storageaccounts		{}			Support for TLS 1.0 and 1.1	2026-02-03	2026-02-03	properties.extendedProperties.retirementDate	exact	High		HighAvailability		2026-04-18T13:10:18.057415Z		Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""ced5fa9f-b5bf-4982-9f25-8190fb36dfca\u0000/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp"",""resource"":""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp"",""subscription"":""1ab5e788-3b98-4c63-bd05-de0c7388c853""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp/providers/Microsoft.Advisor/recommendations/ccd28e1c50460cab8ce3769433782c04a86b47dabf4764726f889ad5bea34a68"",""resource_linkage"":""resource_id""}"	1563043cd8d656d0e8c820b163c674fffcd0731c518e1f9be7556ebd0ffcd653
1	72a34e2b-f26c-4bd9-b778-6118966cf94b	2026-07-31	resolved	advisor_retirement_recommendation	azure_advisor	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-data-rg/providers/microsoft.cache/redis/selc-d-redis/providers/Microsoft.Advisor/recommendations/1071f94fe730edc2df214f7ccc202c9c0da1c5ac0d5c74a8eaeaa83066d77931	f3aded79-f9ff-4ce4-99e3-2ffcf11161a4	New	1ab5e788-3b98-4c63-bd05-de0c7388c853		resource_id	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-data-rg/providers/microsoft.cache/redis/selc-d-redis	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-data-rg/providers/microsoft.cache/redis/selc-d-redis	selc-d-redis	selc-d-data-rg	microsoft.cache/redis		{}			Redis Cache	2028-09-30	2028-09-30	properties.extendedProperties.retirementDate	exact	Medium		HighAvailability		2026-05-12T18:01:18.180660Z		Migrate to Azure Managed Redis from Azure Cache for Redis	Migrate to Azure Managed Redis from Azure Cache for Redis				[]	missing	missing	missing	metadata_not_found,resource_inventory_not_found,subscription_inventory_not_found	"{""acquisition"":""advisor.recommendations"",""api_version"":""2025-01-01"",""fields"":{""description"":"""",""resource_id"":""properties.resourceMetadata.resourceId""},""lookup_keys"":{""metadata"":""f3aded79-f9ff-4ce4-99e3-2ffcf11161a4\u0000/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-data-rg/providers/microsoft.cache/redis/selc-d-redis"",""resource"":""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-data-rg/providers/microsoft.cache/redis/selc-d-redis"",""subscription"":""1ab5e788-3b98-4c63-bd05-de0c7388c853""},""match_status"":{""metadata"":""missing"",""resource"":""missing"",""subscription"":""missing""},""recommendation_id"":""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-data-rg/providers/microsoft.cache/redis/selc-d-redis/providers/Microsoft.Advisor/recommendations/1071f94fe730edc2df214f7ccc202c9c0da1c5ac0d5c74a8eaeaa83066d77931"",""resource_linkage"":""resource_id""}"	e6c29aca537de30da8540b1bc21ab2b4c1c09776defa77a39c1d52c88ccf2bec
