run_id	as_of_date	scope_mode	record_type	source_system	source_id	recommendation_type_id	advisor_recommendation_id	advisor_metadata_id	service_name	retiring_feature	retirement_date	days_to_retirement	months_to_retirement	retirement_date_quality	subscription_id	subscription_name	resource_id	resource_name	resource_group	resource_type	location	tags_json	environment_hint	platform_hint	impact	risk	category	sub_category	platform_state	last_updated	label	short_description_problem	short_description_solution	description	potential_benefits	learn_more_link	action_link	action_caption	description_quality	join_quality	diagnostic_flags	provenance_json	raw_json
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourceGroups/p4pa-d-itn-dev-aks-rg/providers/Microsoft.ContainerService/managedClusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/082e094b-1b3e-0782-ffbf-021245f1a566	00dbcc9d-50d4-44ef-bc21-c15785cddf42	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourceGroups/p4pa-d-itn-dev-aks-rg/providers/Microsoft.ContainerService/managedClusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/082e094b-1b3e-0782-ffbf-021245f1a566		Kubernetes service	Azure Kubernetes Service support for Ubuntu 22.04	2027-06-30	373	12	exact	00288c16-f581-4bb4-9c52-6954dce102f4	DEV-P4PA	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks-rg	microsoft.containerservice/managedclusters	italynorth	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""DEV"",""Owner"":""P4PA"",""Source"":""https://github.com/pagopa/p4pa-infra"",""grafana"":""yes""}"			Medium		HighAvailability		New	2026-06-21T14:30:39Z		Migrate to Ubuntu 24.04 or later versions	Migrate to Ubuntu 24.04 or later versions						short	arg_only	resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""00dbcc9d-50d4-44ef-bc21-c15785cddf42"",""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourceGroups/p4pa-d-itn-dev-aks-rg/providers/Microsoft.ContainerService/managedClusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/a29e1b8d-d2c6-1f85-8a5c-ed11b09b896a	b005ecf0-23e2-4279-9ca2-718d1518c9fb	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourceGroups/p4pa-d-itn-dev-aks-rg/providers/Microsoft.ContainerService/managedClusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/a29e1b8d-d2c6-1f85-8a5c-ed11b09b896a		Kubernetes service	Legacy authentication for Container Insights - Azure Monitor	2026-09-30	100	3	exact	00288c16-f581-4bb4-9c52-6954dce102f4	DEV-P4PA	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks-rg	microsoft.containerservice/managedclusters	italynorth	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""DEV"",""Owner"":""P4PA"",""Source"":""https://github.com/pagopa/p4pa-infra"",""grafana"":""yes""}"			Medium		HighAvailability		New	2026-06-21T14:02:55Z		Migrate to Container insights managed identity authentication	Migrate to Container insights managed identity authentication						short	arg_only	resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""b005ecf0-23e2-4279-9ca2-718d1518c9fb"",""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourceGroups/p4pa-d-itn-payhub-sec-rg/providers/Microsoft.KeyVault/vaults/p4pa-d-payhub-kv/providers/Microsoft.Advisor/recommendations/53cdcb59-8e74-1335-e3fe-6ddd25e3b1a3	9017e82f-b7ac-4a06-8b9b-5858cb3d5113	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourceGroups/p4pa-d-itn-payhub-sec-rg/providers/Microsoft.KeyVault/vaults/p4pa-d-payhub-kv/providers/Microsoft.Advisor/recommendations/53cdcb59-8e74-1335-e3fe-6ddd25e3b1a3		Key vault					missing	00288c16-f581-4bb4-9c52-6954dce102f4	DEV-P4PA	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv	p4pa-d-payhub-kv	p4pa-d-itn-payhub-sec-rg						Medium		Performance			2026-06-21T08:16:12Z		Upgrade the Azure Key Vault SDK to the latest version	Upgrade the Azure Key Vault SDK to the latest version						short	recommendation_only	missing_retirement_date,recommendation_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":false,""resource_graph_key"":[""9017e82f-b7ac-4a06-8b9b-5858cb3d5113"",""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourceGroups/dx-p-itn-tfstate-rg-01/providers/Microsoft.Storage/storageAccounts/dxpitntfstatest01/providers/Microsoft.Advisor/recommendations/2f9aadd1-c5ff-b3b5-37a6-61d26af3fa12	ced5fa9f-b5bf-4982-9f25-8190fb36dfca	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourceGroups/dx-p-itn-tfstate-rg-01/providers/Microsoft.Storage/storageAccounts/dxpitntfstatest01/providers/Microsoft.Advisor/recommendations/2f9aadd1-c5ff-b3b5-37a6-61d26af3fa12		Storage Account	Support for TLS 1.0 and 1.1	2026-02-03	-139	-5	past	02a23258-2e41-433c-8e9a-465b99e77bca	PROD-DEVEX	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01	dxpitntfstatest01	dx-p-itn-tfstate-rg-01	microsoft.storage/storageaccounts	italynorth	{}			High		HighAvailability		New	2026-06-21T18:59:46Z		Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending						short	arg_only	resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""ced5fa9f-b5bf-4982-9f25-8190fb36dfca"",""/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/0da48c97-355f-4050-a520-f11a18b8be90/resourceGroups/sec-p-sentinel/providers/Microsoft.HybridCompute/machines/VIM/providers/Microsoft.Advisor/recommendations/fea35f71-9654-b7a8-2bdc-e52b7c3b1bdc	9d5717d2-4708-4e3f-bdda-93b3e6f1715b	/subscriptions/0da48c97-355f-4050-a520-f11a18b8be90/resourceGroups/sec-p-sentinel/providers/Microsoft.HybridCompute/machines/VIM/providers/Microsoft.Advisor/recommendations/fea35f71-9654-b7a8-2bdc-e52b7c3b1bdc		Hybridcompute					missing	0da48c97-355f-4050-a520-f11a18b8be90	Prod-Sec	/subscriptions/0da48c97-355f-4050-a520-f11a18b8be90/resourcegroups/sec-p-sentinel/providers/microsoft.hybridcompute/machines/vim	VIM	sec-p-sentinel	microsoft.hybridcompute/machines	westeurope	{}			Medium		HighAvailability		New	2026-06-21T16:10:42Z		Upgrade to the latest version of the Azure Connected Machine agent	Upgrade to the latest version of the Azure Connected Machine agent						short	arg_only	missing_retirement_date,resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""9d5717d2-4708-4e3f-bdda-93b3e6f1715b"",""/subscriptions/0da48c97-355f-4050-a520-f11a18b8be90/resourcegroups/sec-p-sentinel/providers/microsoft.hybridcompute/machines/vim""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourceGroups/ced-p-itn-common-rg-01/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/ced-p-itn-agw-waf-policy-01/providers/Microsoft.Advisor/recommendations/ca594cee-0b6d-e7e0-c145-a0625328dbc6	7aaefe5a-5b88-4790-9a3d-5106722f7c34	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourceGroups/ced-p-itn-common-rg-01/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/ced-p-itn-agw-waf-policy-01/providers/Microsoft.Advisor/recommendations/ca594cee-0b6d-e7e0-c145-a0625328dbc6		Network					missing	0f1c9857-d58b-47d2-874e-c905c5276dda	PROD-CED	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.network/applicationgatewaywebapplicationfirewallpolicies/ced-p-itn-agw-waf-policy-01	ced-p-itn-agw-waf-policy-01	ced-p-itn-common-rg-01						High		OperationalExcellence			2026-06-21T19:00:29Z		Upgrade to the latest DRS rule set in Application Gateway WAF	Upgrade to the latest DRS rule set in Application Gateway WAF						short	recommendation_only	missing_retirement_date,recommendation_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":false,""resource_graph_key"":[""7aaefe5a-5b88-4790-9a3d-5106722f7c34"",""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.network/applicationgatewaywebapplicationfirewallpolicies/ced-p-itn-agw-waf-policy-01""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourceGroups/ced-p-itn-tfstate-rg-01/providers/Microsoft.Storage/storageAccounts/cedpitntfstatest01/providers/Microsoft.Advisor/recommendations/24661db3-ed91-c0c5-86e6-84865ace8961	ced5fa9f-b5bf-4982-9f25-8190fb36dfca	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourceGroups/ced-p-itn-tfstate-rg-01/providers/Microsoft.Storage/storageAccounts/cedpitntfstatest01/providers/Microsoft.Advisor/recommendations/24661db3-ed91-c0c5-86e6-84865ace8961		Storage Account	Support for TLS 1.0 and 1.1	2026-02-03	-139	-5	past	0f1c9857-d58b-47d2-874e-c905c5276dda	PROD-CED	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01	cedpitntfstatest01	ced-p-itn-tfstate-rg-01	microsoft.storage/storageaccounts	italynorth	"{""BusinessUnit"":""App IO"",""CostCenter"":""TS000"",""Environment"":""prod"",""ManagementTeam"":""IO Growth""}"			High		HighAvailability		New	2026-06-21T19:10:43Z		Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending						short	arg_only	resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""ced5fa9f-b5bf-4982-9f25-8190fb36dfca"",""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourceGroups/selc-d-event-rg/providers/Microsoft.Compute/virtualMachines/selc-d-evh-rds-vm/providers/Microsoft.Advisor/recommendations/1bc1a7a3-b6d6-6f7e-7d15-a9168d083159	13cea0f1-c3f7-4c66-8b3b-9928a0f07cea	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourceGroups/selc-d-event-rg/providers/Microsoft.Compute/virtualMachines/selc-d-evh-rds-vm/providers/Microsoft.Advisor/recommendations/1bc1a7a3-b6d6-6f7e-7d15-a9168d083159		Virtual machine	LSv2, G, GS, F, FS, Fsv2, B, Av2 - Series	2028-11-15	877	28	exact	1ab5e788-3b98-4c63-bd05-de0c7388c853	DEV-SelfCare	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-event-rg/providers/microsoft.compute/virtualmachines/selc-d-evh-rds-vm	selc-d-evh-rds-vm	selc-d-event-rg	microsoft.compute/virtualmachines	westeurope	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""Dev"",""Owner"":""SelfCare"",""Source"":""https://github.com/pagopa/selfcare-infra""}"			High		HighAvailability		New	2026-06-21T20:18:19Z		Review and migrate virtual machine workloads	Review and migrate virtual machine workloads						short	arg_only	resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""13cea0f1-c3f7-4c66-8b3b-9928a0f07cea"",""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-event-rg/providers/microsoft.compute/virtualmachines/selc-d-evh-rds-vm""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourceGroups/selc-d-event-rg/providers/Microsoft.Compute/virtualMachines/selc-d-evh-rds-vm/providers/Microsoft.Advisor/recommendations/4cc72491-cb6c-8740-ba8d-f7a7234ac210	7f71b153-c0b7-4e99-a23e-db8179183ec9	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourceGroups/selc-d-event-rg/providers/Microsoft.Compute/virtualMachines/selc-d-evh-rds-vm/providers/Microsoft.Advisor/recommendations/4cc72491-cb6c-8740-ba8d-f7a7234ac210		Virtual machine					missing	1ab5e788-3b98-4c63-bd05-de0c7388c853	DEV-SelfCare	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-event-rg/providers/microsoft.compute/virtualmachines/selc-d-evh-rds-vm	selc-d-evh-rds-vm	selc-d-event-rg	microsoft.compute/virtualmachines	westeurope	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""Dev"",""Owner"":""SelfCare"",""Source"":""https://github.com/pagopa/selfcare-infra""}"			High		HighAvailability		New	2026-06-21T18:28:39Z		Migrate workload to D-series or better virtual machine	Migrate workload to D-series or better virtual machine						short	arg_only	missing_retirement_date,resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""7f71b153-c0b7-4e99-a23e-db8179183ec9"",""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-event-rg/providers/microsoft.compute/virtualmachines/selc-d-evh-rds-vm""]}"	
azure-retirements-905c78ba-0747-4420-a407-932eb12648cf	2026-06-22	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourceGroups/azuredurablefunctionstyp/providers/Microsoft.Storage/storageAccounts/azuredurablefunctionstyp/providers/Microsoft.Advisor/recommendations/d3538f03-21a8-82be-d84b-5bcbedbf74ab	ced5fa9f-b5bf-4982-9f25-8190fb36dfca	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourceGroups/azuredurablefunctionstyp/providers/Microsoft.Storage/storageAccounts/azuredurablefunctionstyp/providers/Microsoft.Advisor/recommendations/d3538f03-21a8-82be-d84b-5bcbedbf74ab		Storage Account	Support for TLS 1.0 and 1.1	2026-02-03	-139	-5	past	1ab5e788-3b98-4c63-bd05-de0c7388c853	DEV-SelfCare	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp	azuredurablefunctionstyp	azuredurablefunctionstyp	microsoft.storage/storageaccounts	westeurope	{}			High		HighAvailability		New	2026-06-21T19:23:41Z		Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending						short	arg_only	resource_without_metadata	"{""metadata_joined"":false,""recommendation_source"":""advisor_recommendations"",""resource_graph_joined"":true,""resource_graph_key"":[""ced5fa9f-b5bf-4982-9f25-8190fb36dfca"",""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/azuredurablefunctionstyp/providers/microsoft.storage/storageaccounts/azuredurablefunctionstyp""]}"	
