recommendation_type_id	service_name	retiring_feature	descrizione_problema	short_description_problem	short_description_solution	learn_more_link	category	retirement_date	retirement_date_quality	subscription_id	subscription_name	resource_id	resource_name	resource_group	resource_type	location	tags_json	impact	sub_category	platform_state	last_updated	description_quality	join_quality	diagnostic_flags	provenance_json	run_id	as_of_date	scope_mode	record_type	source_system	source_id	advisor_recommendation_id	advisor_metadata_id
7ff06874-39e9-41be-9552-fa1ae2a83c88	Key vault	API versions prior to 2026-02-01	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	https://learn.microsoft.com/azure/key-vault/general/access-control-default?tabs=azure-cli	HighAvailability	2027-02-27	exact	00288c16-f581-4bb4-9c52-6954dce102f4	DEV-P4PA	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv	p4pa-d-payhub-kv	p4pa-d-itn-payhub-sec-rg	microsoft.keyvault/vaults	italynorth	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""DEV"",""Owner"":""P4PA"",""SOPS"":""true"",""Source"":""https://github.com/pagopa/p4pa-infra""}"	High		New	2026-07-27T18:43:52Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""7ff06874-39e9-41be-9552-fa1ae2a83c88"", ""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv/providers/Microsoft.Advisor/recommendations/76c903f8c1d9f6e1b5457ddadc46a095e783da86424b46c0a45504cea0b6f8f5	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-payhub-sec-rg/providers/microsoft.keyvault/vaults/p4pa-d-payhub-kv/providers/Microsoft.Advisor/recommendations/76c903f8c1d9f6e1b5457ddadc46a095e783da86424b46c0a45504cea0b6f8f5	7ff06874-39e9-41be-9552-fa1ae2a83c88
00dbcc9d-50d4-44ef-bc21-c15785cddf42	Kubernetes service	Azure Kubernetes Service support for Ubuntu 22.04	Azure Kubernetes Service support for Ubuntu 22.04 for Kubernetes service is scheduled for retirement on 2027-06-30; continued use after retirement may result in loss of support or functionality.	Migrate to Ubuntu 24.04 or later versions	Migrate to Ubuntu 24.04 or later versions	https://azure.microsoft.com/updates/?id=557928	HighAvailability	2027-06-30	exact	00288c16-f581-4bb4-9c52-6954dce102f4	DEV-P4PA	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks-rg	microsoft.containerservice/managedclusters	italynorth	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""DEV"",""Owner"":""P4PA"",""Source"":""https://github.com/pagopa/p4pa-infra"",""grafana"":""yes""}"	Medium		New	2026-05-07T15:05:08Z	derived_retirement_risk	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""derived_retirement_risk"", ""source_field"": ""derived_from_row_fields""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""00dbcc9d-50d4-44ef-bc21-c15785cddf42"", ""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/c3f064b831ccf765b28c1361192ae556a0684be0e24812dd5cb936f90d175b2d	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/c3f064b831ccf765b28c1361192ae556a0684be0e24812dd5cb936f90d175b2d	00dbcc9d-50d4-44ef-bc21-c15785cddf42
b005ecf0-23e2-4279-9ca2-718d1518c9fb	Kubernetes service	Legacy authentication for Container Insights - Azure Monitor	Legacy authentication for Container Insights - Azure Monitor for Kubernetes service is scheduled for retirement on 2026-09-30; continued use after retirement may result in loss of support or functionality.	Migrate to Container insights managed identity authentication	Migrate to Container insights managed identity authentication	https://azure.microsoft.com/updates/?id=500853	HighAvailability	2026-09-30	exact	00288c16-f581-4bb4-9c52-6954dce102f4	DEV-P4PA	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks	p4pa-d-itn-dev-aks-rg	microsoft.containerservice/managedclusters	italynorth	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""DEV"",""Owner"":""P4PA"",""Source"":""https://github.com/pagopa/p4pa-infra"",""grafana"":""yes""}"	Medium		New	2026-04-16T16:00:26Z	derived_retirement_risk	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""derived_retirement_risk"", ""source_field"": ""derived_from_row_fields""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""b005ecf0-23e2-4279-9ca2-718d1518c9fb"", ""/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/0e2dbd88a6b2c069535a0853466bad2cc7eb26b1e62cc4d648d8588d4408141b	/subscriptions/00288c16-f581-4bb4-9c52-6954dce102f4/resourcegroups/p4pa-d-itn-dev-aks-rg/providers/microsoft.containerservice/managedclusters/p4pa-d-itn-dev-aks/providers/Microsoft.Advisor/recommendations/0e2dbd88a6b2c069535a0853466bad2cc7eb26b1e62cc4d648d8588d4408141b	b005ecf0-23e2-4279-9ca2-718d1518c9fb
ced5fa9f-b5bf-4982-9f25-8190fb36dfca	Storage Account	Support for TLS 1.0 and 1.1	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	https://techcommunity.microsoft.com/blog/azurestorageblog/tls-1-0-and-1-1-support-will-be-removed-for-new--existing-azure-storage-accounts/4026181	HighAvailability	2026-02-03	past	02a23258-2e41-433c-8e9a-465b99e77bca	PROD-DEVEX	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01	dxpitntfstatest01	dx-p-itn-tfstate-rg-01	microsoft.storage/storageaccounts	italynorth	{}	High		New	2026-04-18T13:10:05Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""ced5fa9f-b5bf-4982-9f25-8190fb36dfca"", ""/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01/providers/Microsoft.Advisor/recommendations/d1d7ce4e075e93668f1faa1c20a36b1aea0deea872b432e59a0c0310cd36c596	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/dxpitntfstatest01/providers/Microsoft.Advisor/recommendations/d1d7ce4e075e93668f1faa1c20a36b1aea0deea872b432e59a0c0310cd36c596	ced5fa9f-b5bf-4982-9f25-8190fb36dfca
7ff06874-39e9-41be-9552-fa1ae2a83c88	Key vault	API versions prior to 2026-02-01	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	https://learn.microsoft.com/azure/key-vault/general/access-control-default?tabs=azure-cli	HighAvailability	2027-02-27	exact	02a23258-2e41-433c-8e9a-465b99e77bca	PROD-DEVEX	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01	dx-p-itn-common-kv-01	dx-p-itn-common-rg-01	microsoft.keyvault/vaults	italynorth	"{""CostCenter"":""TS000 - Tecnologia e Servizi"",""CreatedBy"":""Terraform"",""Environment"":""Prod"",""ManagementTeam"":""Developer Experience"",""ModuleName"":""azure_core_infra"",""ModuleSource"":""DX"",""ModuleVersion"":""2.1.1"",""Owner"":""DevEx"",""Source"":""https://github.com/pagopa/dx/blob/main/infra/core/prod""}"	High		New	2026-07-24T18:35:54Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""7ff06874-39e9-41be-9552-fa1ae2a83c88"", ""/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/af6035ddf1af5c59fff9a768c7690564ab9afe2eb85ecb297173dd173b35300e	/subscriptions/02a23258-2e41-433c-8e9a-465b99e77bca/resourcegroups/dx-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/dx-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/af6035ddf1af5c59fff9a768c7690564ab9afe2eb85ecb297173dd173b35300e	7ff06874-39e9-41be-9552-fa1ae2a83c88
ced5fa9f-b5bf-4982-9f25-8190fb36dfca	Storage Account	Support for TLS 1.0 and 1.1	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	https://techcommunity.microsoft.com/blog/azurestorageblog/tls-1-0-and-1-1-support-will-be-removed-for-new--existing-azure-storage-accounts/4026181	HighAvailability	2026-02-03	past	0f1c9857-d58b-47d2-874e-c905c5276dda	PROD-CED	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01	cedpitntfstatest01	ced-p-itn-tfstate-rg-01	microsoft.storage/storageaccounts	italynorth	"{""BusinessUnit"":""App IO"",""CostCenter"":""TS000"",""Environment"":""Prod"",""ManagementTeam"":""IO Growth""}"	High		New	2026-04-20T12:04:35Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""ced5fa9f-b5bf-4982-9f25-8190fb36dfca"", ""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01/providers/Microsoft.Advisor/recommendations/9cf1214a51f677f6f837c2a5270838e420a909e5dc6708fface4b08d7937b543	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-tfstate-rg-01/providers/microsoft.storage/storageaccounts/cedpitntfstatest01/providers/Microsoft.Advisor/recommendations/9cf1214a51f677f6f837c2a5270838e420a909e5dc6708fface4b08d7937b543	ced5fa9f-b5bf-4982-9f25-8190fb36dfca
7ff06874-39e9-41be-9552-fa1ae2a83c88	Key vault	API versions prior to 2026-02-01	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	https://learn.microsoft.com/azure/key-vault/general/access-control-default?tabs=azure-cli	HighAvailability	2027-02-27	exact	0f1c9857-d58b-47d2-874e-c905c5276dda	PROD-CED	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01	ced-p-itn-common-kv-01	ced-p-itn-common-rg-01	microsoft.keyvault/vaults	italynorth	"{""BusinessUnit"":""App IO"",""CostCenter"":""TS000"",""CreatedBy"":""Terraform"",""Environment"":""prod"",""ManagementTeam"":""IO Growth"",""ModuleName"":""azure_core_infra"",""ModuleSource"":""DX"",""ModuleVersion"":""4.2.1""}"	High		New	2026-07-18T09:02:10Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""7ff06874-39e9-41be-9552-fa1ae2a83c88"", ""/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/41bc19500caeae3d79483df1f79772c7f4d53bdea7ce48c738fb2ce147d782fe	/subscriptions/0f1c9857-d58b-47d2-874e-c905c5276dda/resourcegroups/ced-p-itn-common-rg-01/providers/microsoft.keyvault/vaults/ced-p-itn-common-kv-01/providers/Microsoft.Advisor/recommendations/41bc19500caeae3d79483df1f79772c7f4d53bdea7ce48c738fb2ce147d782fe	7ff06874-39e9-41be-9552-fa1ae2a83c88
ced5fa9f-b5bf-4982-9f25-8190fb36dfca	Storage Account	Support for TLS 1.0 and 1.1	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending	https://techcommunity.microsoft.com/blog/azurestorageblog/tls-1-0-and-1-1-support-will-be-removed-for-new--existing-azure-storage-accounts/4026181	HighAvailability	2026-02-03	past	1ab5e788-3b98-4c63-bd05-de0c7388c853	DEV-SelfCare	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-workflow-rg/providers/microsoft.storage/storageaccounts/selcdworkflowtestfa1ccd	selcdworkflowtestfa1ccd	selc-d-workflow-rg	microsoft.storage/storageaccounts	westeurope	{}	High		New	2026-04-18T13:09:40Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""ced5fa9f-b5bf-4982-9f25-8190fb36dfca"", ""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-workflow-rg/providers/microsoft.storage/storageaccounts/selcdworkflowtestfa1ccd""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-workflow-rg/providers/microsoft.storage/storageaccounts/selcdworkflowtestfa1ccd/providers/Microsoft.Advisor/recommendations/7fca44a9cf69ca306f7be39e3a071c29c546753b38796604dac3d182315eaf9c	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-workflow-rg/providers/microsoft.storage/storageaccounts/selcdworkflowtestfa1ccd/providers/Microsoft.Advisor/recommendations/7fca44a9cf69ca306f7be39e3a071c29c546753b38796604dac3d182315eaf9c	ced5fa9f-b5bf-4982-9f25-8190fb36dfca
7ff06874-39e9-41be-9552-fa1ae2a83c88	Key vault	API versions prior to 2026-02-01	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	https://learn.microsoft.com/azure/key-vault/general/access-control-default?tabs=azure-cli	HighAvailability	2027-02-27	exact	1ab5e788-3b98-4c63-bd05-de0c7388c853	DEV-SelfCare	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-pnpg-sec-rg/providers/microsoft.keyvault/vaults/selc-d-pnpg-kv	selc-d-pnpg-kv	selc-d-pnpg-sec-rg	microsoft.keyvault/vaults	westeurope	"{""Application"":""PNPG"",""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""Dev"",""Owner"":""Selfcare"",""Source"":""https://github.com/pagopa/selfcare""}"	High		New	2026-07-21T13:08:31Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""7ff06874-39e9-41be-9552-fa1ae2a83c88"", ""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-pnpg-sec-rg/providers/microsoft.keyvault/vaults/selc-d-pnpg-kv""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-pnpg-sec-rg/providers/microsoft.keyvault/vaults/selc-d-pnpg-kv/providers/Microsoft.Advisor/recommendations/0643b48d7d602fbdb982b5f56ecd5cb7c43f87601bb6a34bec2c03f314a97838	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-pnpg-sec-rg/providers/microsoft.keyvault/vaults/selc-d-pnpg-kv/providers/Microsoft.Advisor/recommendations/0643b48d7d602fbdb982b5f56ecd5cb7c43f87601bb6a34bec2c03f314a97838	7ff06874-39e9-41be-9552-fa1ae2a83c88
7ff06874-39e9-41be-9552-fa1ae2a83c88	Key vault	API versions prior to 2026-02-01	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	Azure Key Vault API versions prior to 2026-02-01 are being retired	https://learn.microsoft.com/azure/key-vault/general/access-control-default?tabs=azure-cli	HighAvailability	2027-02-27	exact	1ab5e788-3b98-4c63-bd05-de0c7388c853	DEV-SelfCare	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-sec-rg/providers/microsoft.keyvault/vaults/selc-d-kv	selc-d-kv	selc-d-sec-rg	microsoft.keyvault/vaults	westeurope	"{""CostCenter"":""TS310 - PAGAMENTI & SERVIZI"",""CreatedBy"":""Terraform"",""Environment"":""Dev"",""Owner"":""Selfcare"",""Source"":""https://github.com/pagopa/selfcare""}"	High		New	2026-07-24T18:37:09Z	direct_advisor_problem	metadata_and_resource		"{""metadata_joined"": true, ""problem_description"": {""canonical_url"": """", ""quality"": ""direct_advisor_problem"", ""source_field"": ""advisor_description""}, ""recommendation_source"": ""advisor_recommendations"", ""resource_graph_joined"": true, ""resource_graph_key"": [""7ff06874-39e9-41be-9552-fa1ae2a83c88"", ""/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-sec-rg/providers/microsoft.keyvault/vaults/selc-d-kv""]}"	azure-retirements-8f7f6e57-53a8-4c27-b891-20ed4dfeb403	2026-07-28	subscriptions	advisor_resource_retirement	advisor_joined	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-sec-rg/providers/microsoft.keyvault/vaults/selc-d-kv/providers/Microsoft.Advisor/recommendations/046b790a8cf0e9cd445bc01a4611b9c14f25f593a85aeb194bb17990098e8435	/subscriptions/1ab5e788-3b98-4c63-bd05-de0c7388c853/resourcegroups/selc-d-sec-rg/providers/microsoft.keyvault/vaults/selc-d-kv/providers/Microsoft.Advisor/recommendations/046b790a8cf0e9cd445bc01a4611b9c14f25f593a85aeb194bb17990098e8435	7ff06874-39e9-41be-9552-fa1ae2a83c88
